CombinID,Player,Position,Height,Date_birth,Nationality,Website_player
53K,Gal Mekel,Guard,1.91,04/03/1988,Israel,http://www.acb.com/jugador.php?id=53K
53D,S. McKissic,Forward,1.96,17/08/1990,United States,http://www.acb.com/jugador.php?id=53D
53I,Luke Fischer,Center,2.11,29/10/1994,Armenia,http://www.acb.com/jugador.php?id=53I
545,Miquel Salvo,Center,2.05,03/11/1994,Spain,http://www.acb.com/jugador.php?id=545
54P,Michael Fakuade,Center,2.01,18/02/1989,Nigeria,http://www.acb.com/jugador.php?id=54P
548,Benjamin Simons,Center,2.03,16/02/1991,United States,http://www.acb.com/jugador.php?id=548
53S,Matt Thomas,Guard,1.96,04/08/1994,United States,http://www.acb.com/jugador.php?id=53S
53A,Martins Laksa,Forward,2.00,26/06/1990,Latvia,http://www.acb.com/jugador.php?id=53A
542,Nikola Dragovic,Center,2.06,20/12/1987,Serbia,http://www.acb.com/jugador.php?id=542
53M,Michal Michalak,Guard,1.96,02/11/1993,Poland,http://www.acb.com/jugador.php?id=53M
54I,Nicolas De Jong,Center,2.11,15/04/1988,Netherlands,http://www.acb.com/jugador.php?id=54I
544,Jarvis Varnado,Center,2.06,01/03/1988,United States,http://www.acb.com/jugador.php?id=544
FPY,Oderah Anosike,Center,2.03,03/01/1991,Nigeria,http://www.acb.com/jugador.php?id=FPY
547,Luke Nelson,Guard,1.91,29/06/1995,United Kingdom,http://www.acb.com/jugador.php?id=547
BLL,Ivan Cruz,Center,2.08,24/10/1991,Spain,http://www.acb.com/jugador.php?id=BLL
54E,N. Boungou-Colo,Forward,2.03,26/04/1988,France,http://www.acb.com/jugador.php?id=54E
54V,Ryan Kelly,Center,2.11,09/04/1991,United States,http://www.acb.com/jugador.php?id=54V
53P,Erick Green,Guard,1.90,09/05/1991,United States,http://www.acb.com/jugador.php?id=53P
53X,Phil Pressey,Guard,1.80,17/02/1991,United States,http://www.acb.com/jugador.php?id=53X
53Z,Rakim Sanders,Forward,1.96,08/07/1989,United States,http://www.acb.com/jugador.php?id=53Z
2CG,Atoumane Diagne,Center,2.15,31/12/1998,Senegal,http://www.acb.com/jugador.php?id=2CG
536,Janis Timma,Forward,2.01,02/07/1992,Latvia,http://www.acb.com/jugador.php?id=536
802,Rinalds Malmanis,Center,2.05,12/04/1996,Latvia,http://www.acb.com/jugador.php?id=802
55A,Matt Janning,Guard,1.93,22/06/1988,United States,http://www.acb.com/jugador.php?id=55A
539,Vincent Poirier,Center,2.13,17/10/1993,France,http://www.acb.com/jugador.php?id=539
55T,Carlos Delfino,Forward,1.98,29/08/1982,Italy,http://www.acb.com/jugador.php?id=55T
53N,Charlon Kloof,Guard,1.91,20/03/1990,Netherlands,http://www.acb.com/jugador.php?id=53N
53R,Marko Lukovic,Center,2.06,26/05/1992,Serbia,http://www.acb.com/jugador.php?id=53R
540,Ray McCallum,Guard,1.91,12/06/1991,United States,http://www.acb.com/jugador.php?id=540
53F,D. Milosavljevic,Guard,1.98,11/05/1989,Serbia,http://www.acb.com/jugador.php?id=53F
54F,Gabriel Olaseni,Center,2.08,29/12/1991,United Kingdom,http://www.acb.com/jugador.php?id=54F
53Q,Gregory Vargas,Guard,1.80,18/02/1986,Venezuela,http://www.acb.com/jugador.php?id=53Q
53G,Ricardo Fischer,Guard,1.85,16/05/1991,Austria,http://www.acb.com/jugador.php?id=53G
53H,Shane Hammink,Forward,2.00,22/07/1994,Netherlands,http://www.acb.com/jugador.php?id=53H
538,Lucio Redivo,Guard,1.83,14/02/1994,Italy,http://www.acb.com/jugador.php?id=538
53B,Tim Kempton,Center,2.08,28/04/1995,United States,http://www.acb.com/jugador.php?id=53B
55D,Mickell Gladness,Center,2.11,26/07/1986,United States,http://www.acb.com/jugador.php?id=55D
SDS,Sebas Saiz,Center,2.05,15/07/1994,Spain,http://www.acb.com/jugador.php?id=SDS
549,Deividas Gailius,Forward,2.00,26/04/1988,Lithuania,http://www.acb.com/jugador.php?id=549
461,Felipe Dos Anjos,Center,2.18,30/04/1998,Brazil,http://www.acb.com/jugador.php?id=461
54C,Deon Thompson,Center,2.03,16/09/1988,United States,http://www.acb.com/jugador.php?id=54C
53W,Mateusz Ponitka,Guard,1.97,29/08/1993,Poland,http://www.acb.com/jugador.php?id=53W
546,Adin Vrabac,Forward,2.03,27/01/1994,Bosnia and Herz.,http://www.acb.com/jugador.php?id=546
541,Sylven Landesberg,Forward,1.98,10/04/1990,Israel,http://www.acb.com/jugador.php?id=541
53J,Simon Birgander,Center,2.09,23/10/1997,Sweden,http://www.acb.com/jugador.php?id=53J
53V,Saulius Kulvietis,Center,2.04,14/02/1991,Lithuania,http://www.acb.com/jugador.php?id=53V
56B,Maalik Wayns,Guard,1.85,02/05/1991,United States,http://www.acb.com/jugador.php?id=56B
53U,Patrick Richard,Guard,1.96,25/01/1990,United States,http://www.acb.com/jugador.php?id=53U
55F,T. Hlinason,Center,2.16,28/10/1997,Iceland,http://www.acb.com/jugador.php?id=55F
53O,Luca Vildoza,Guard,1.90,11/08/1995,Italy,http://www.acb.com/jugador.php?id=53O
53E,Dagoberto Pena,Guard,1.98,14/06/1988,Dominican Rep.,http://www.acb.com/jugador.php?id=53E
55U,Asier Azpeitia,Forward,1.92,05/03/1998,Spain,http://www.acb.com/jugador.php?id=55U
565,Blake Schilb,Forward,2.01,23/12/1983,Czech Rep.,http://www.acb.com/jugador.php?id=565
