CombinID,Player,Position,Height,Date_birth,Nationality,Website_player
007960,"Davidovac, Dejan",Forward,2.02,17/01/1995,Serbia,http://www.euroleague.net/competition/players/showplayer?pcode=007960&seasoncode=E2017
006543,"Radoncic, Dino",Forward,2.02,08/01/1999,Montenegro,http://www.euroleague.net/competition/players/showplayer?pcode=006543&seasoncode=E2017
007994,"Garino, Patricio",Forward,2.01,17/05/1993,Italy,http://www.euroleague.net/competition/players/showplayer?pcode=007994&seasoncode=E2017
006693,"Saybir, Yigitcan",Forward,1.98,27/02/1999,Turkey,http://www.euroleague.net/competition/players/showplayer?pcode=006693&seasoncode=E2017
008049,"Wright, Dorell",Forward,2.06,02/12/1985,United States,http://www.euroleague.net/competition/players/showplayer?pcode=008049&seasoncode=E2017
007996,"Mcrae, Jordan",Forward,1.98,28/03/1991,United States,http://www.euroleague.net/competition/players/showplayer?pcode=007996&seasoncode=E2017
004479,"Soluade, Mo",Guard,1.96,12/07/1995,United Kingdom,http://www.euroleague.net/competition/players/showplayer?pcode=004479&seasoncode=E2017
003945,"Apic, Dragan",Forward,2.06,03/10/1995,Serbia,http://www.euroleague.net/competition/players/showplayer?pcode=003945&seasoncode=E2017
006357,"Makiev, Alan",Center,2.1,20/03/1991,Russia,http://www.euroleague.net/competition/players/showplayer?pcode=006357&seasoncode=E2017
JZH,"Rudez, Damjan",Center,2.03,17/06/1986,Croatia,http://www.euroleague.net/competition/players/showplayer?pcode=JZH&seasoncode=E2017
000518,"Sanemeterio, Fernando",Forward,1.99,01/01/1984,Spain,http://www.euroleague.net/competition/players/showplayer?pcode=000518&seasoncode=E2017
004170,"Batuk, Birkan",Forward,1.96,30/01/1990,Turkey,http://www.euroleague.net/competition/players/showplayer?pcode=004170&seasoncode=E2017
004185,"Malmanis, Rinalds",Center,2.05,12/04/1996,Latvia,http://www.euroleague.net/competition/players/showplayer?pcode=004185&seasoncode=E2017
005001,"Sanders, Rakim",Forward,1.96,08/07/1989,United States,http://www.euroleague.net/competition/players/showplayer?pcode=005001&seasoncode=E2017
000556,"Claver, Victor",Forward,2.07,30/08/1988,Spain,http://www.euroleague.net/competition/players/showplayer?pcode=000556&seasoncode=E2017
002276,"Kulagin, Mikhail",Guard,1.91,04/08/1994,Russia,http://www.euroleague.net/competition/players/showplayer?pcode=002276&seasoncode=E2017
006385,"Pascolo, Davide",Forward,2.03,14/12/1990,Italy,http://www.euroleague.net/competition/players/showplayer?pcode=006385&seasoncode=E2017
004264,"Bost, Dee",Guard,1.88,12/10/1989,United States,http://www.euroleague.net/competition/players/showplayer?pcode=004264&seasoncode=E2017
005836,"Thompkins, Trey",Forward,2.08,29/05/1990,United States,http://www.euroleague.net/competition/players/showplayer?pcode=005836&seasoncode=E2017
005791,"Tavares, Walter",Center,2.2,22/03/1992,Cape Verde,http://www.euroleague.net/competition/players/showplayer?pcode=005791&seasoncode=E2017
LTF,"Sokolov, Dmitry",Center,2.14,21/01/1985,Russia,http://www.euroleague.net/competition/players/showplayer?pcode=LTF&seasoncode=E2017
005519,"Sajus, Martynas",Center,2.08,22/02/1996,Lithuania,http://www.euroleague.net/competition/players/showplayer?pcode=005519&seasoncode=E2017
005348,"Arna, Egehan",Forward,2.03,05/01/1997,Turkey,http://www.euroleague.net/competition/players/showplayer?pcode=005348&seasoncode=E2017
008052,"Wiltjer, Kyle",Forward,2.08,20/10/1992,Canada,http://www.euroleague.net/competition/players/showplayer?pcode=008052&seasoncode=E2017
003067,"Jerrells, Curtis",Guard,1.85,05/02/1987,United States,http://www.euroleague.net/competition/players/showplayer?pcode=003067&seasoncode=E2017
008032,"Gonzalez, Miguel",Forward,2.01,20/03/1999,Spain,http://www.euroleague.net/competition/players/showplayer?pcode=008032&seasoncode=E2017
003514,"Dragic, Zoran",Forward,1.96,22/06/1989,Slovenia,http://www.euroleague.net/competition/players/showplayer?pcode=003514&seasoncode=E2017
001324,"Muhammed, Ali",Guard,1.78,10/04/1983,United States,http://www.euroleague.net/competition/players/showplayer?pcode=001324&seasoncode=E2017
005961,"Astapkovich, Anton",Forward,2.02,29/01/1994,Russia,http://www.euroleague.net/competition/players/showplayer?pcode=005961&seasoncode=E2017
004624,"Gavrilov, Alexander",Guard,1.93,10/04/1996,Russia,http://www.euroleague.net/competition/players/showplayer?pcode=004624&seasoncode=E2017
007185,"Jones, Kevin",Center,2.03,25/08/1989,United States,http://www.euroleague.net/competition/players/showplayer?pcode=007185&seasoncode=E2017
005800,"Honeycutt, Tyler",Forward,2.03,15/07/1990,United States,http://www.euroleague.net/competition/players/showplayer?pcode=005800&seasoncode=E2017
008062,"Mcdowell-White, William",Guard,1.95,13/04/1998,Australia,http://www.euroleague.net/competition/players/showplayer?pcode=008062&seasoncode=E2017
003571,"Korobkov, Pavel",Forward,2.06,18/10/1990,Russia,http://www.euroleague.net/competition/players/showplayer?pcode=003571&seasoncode=E2017
004425,"Brown, Derrick",Forward,2.03,08/09/1987,United States,http://www.euroleague.net/competition/players/showplayer?pcode=004425&seasoncode=E2017
JUO,"Spanoulis, Vassilis",Guard,1.93,07/08/1982,Greece,http://www.euroleague.net/competition/players/showplayer?pcode=JUO&seasoncode=E2017
004866,"Kalinic, Nikola",Forward,2.02,08/11/1991,Serbia,http://www.euroleague.net/competition/players/showplayer?pcode=004866&seasoncode=E2017
008066,"Ennis, Dylan",Guard,1.88,26/12/1991,Canada,http://www.euroleague.net/competition/players/showplayer?pcode=008066&seasoncode=E2017
006586,"Kalaitzakis, Georgios",Guard,1.95,02/01/1999,Greece,http://www.euroleague.net/competition/players/showplayer?pcode=006586&seasoncode=E2017
008025,"Arsenopoulos, Nikolaos",Guard,1.95,19/05/2000,Greece,http://www.euroleague.net/competition/players/showplayer?pcode=008025&seasoncode=E2017
007866,"Mitoglou, Konstantinos",Forward,2.1,11/06/1996,Greece,http://www.euroleague.net/competition/players/showplayer?pcode=007866&seasoncode=E2017
AGP,"Udrih, Beno",Guard,1.91,05/07/1982,Slovenia,http://www.euroleague.net/competition/players/showplayer?pcode=AGP&seasoncode=E2017
002008,"Kuzminskas, Mindaugas",Forward,2.05,19/10/1989,Lithuania,http://www.euroleague.net/competition/players/showplayer?pcode=002008&seasoncode=E2017
