competition,player_name_norm,rows,written_variants,variants
eurocup,mussini federico,13,1,"Mussini, Federico"
eurocup,nikolic zoran,13,1,"Nikolic, Zoran"
eurocup,okeke david,13,1,"Okeke, David"
eurocup,oliver albert,13,1,"Oliver, Albert"
eurocup,ozdemiroglu dogus,13,1,"Ozdemiroglu, Dogus"
eurocup,ozmizrak kartal,13,1,"Ozmizrak, Kartal"
eurocup,parente davide,13,1,"Parente, Davide"
eurocup,pasecniks anzejs,13,1,"Pasecniks, Anzejs"
eurocup,patterson lamar,13,1,"Patterson, Lamar"
eurocup,pauli oriol,13,1,"Pauli,  Oriol"
eurocup,peno stefan,13,1,"Peno, Stefan"
eurocup,peterson travis,13,1,"Peterson, Travis"
eurocup,poeta giuseppe,13,1,"Poeta, Giuseppe"
eurocup,ponkrashov anton,13,1,"Ponkrashov, Anton"
eurocup,qvale brian,13,1,"Qvale, Brian"
eurocup,redding reggie,13,1,"Redding, Reggie"
eurocup,renfroe alex,13,1,"Renfroe, Alex"
eurocup,reynolds jalen,13,1,"Reynolds, Jalen"
eurocup,reynolds scottie,13,1,"Reynolds, Scottie"
eurocup,roberson john,13,1,"Roberson, John"
eurocup,saibou joshiko,13,1,"Saibou, Joshiko"
eurocup,sant-roos  howard,13,1,"Sant-Roos , Howard"
eurocup,seeley dennis,13,1,"Seeley, Dennis"
eurocup,sergeev pavel,13,1,"Sergeev, Pavel"
eurocup,sikma luke,13,1,"Sikma, Luke"
eurocup,slaughter aj,13,1,"Slaughter, Aj"
eurocup,smith jamar,13,1,"Smith, Jamar"
eurocup,starovlah milic,13,1,"Starovlah, Milic"
eurocup,stephens quinton,13,1,"Stephens, Quinton"
eurocup,stipanovic andrija,13,1,"Stipanovic, Andrija"
eurocup,summers dajuan,13,1,"Summers, Dajuan"
eurocup,trushkin vladislav,13,1,"Trushkin, Vladislav"
eurocup,ulubay okben,13,1,"Ulubay, Okben"
eurocup,valiev evgeny,13,1,"Valiev, Evgeny"
eurocup,vargas akeem,13,1,"Vargas, Akeem"
eurocup,vikhrov artem,13,1,"Vikhrov, Artem"
eurocup,vujacic sasha,13,1,"Vujacic, Sasha"
eurocup,washington deron,13,1,"Washington, Deron"
eurocup,watkins darryl,13,1,"Watkins, Darryl"
eurocup,wright julian,13,1,"Wright, Julian"
eurocup,zganec karlo,13,1,"Zganec, Karlo"
eurocup,zirbes maik,13,1,"Zirbes, Maik"
euroleague,jerrells curtis,13,1,"Jerrells, Curtis"
euroleague,ledo ricky,13,1,"Ledo, Ricky"
euroleague,puerto josep,13,1,"Puerto, Josep"
euroleague,san emeterio fernando,13,1,"San Emeterio, Fernando"
euroleague,tavares walter,13,1,"Tavares, Walter"
euroleague,vives guillem,13,1,"Vives, Guillem"
euroleague,wiltjer kyle,13,1,"Wiltjer, Kyle"
acb,abalde alberto,12,1,"Abalde, Alberto"
acb,milosavljevic d.,12,1,"Milosavljevic, D."
acb,rudez damjan,12,1,"Rudez, Damjan"
acb,sedekerskis tadas,12,1,"Sedekerskis, Tadas"
acb,thompkins trey,12,1,"Thompkins, Trey"
acb,vives guillem,12,1,"Vives, Guillem"
eurocup,antipov pavel,12,1,"Antipov, Pavel"
eurocup,barinov nikita,12,1,"Barinov, Nikita"
eurocup,baygul muhammed,12,1,"Baygul, Muhammed"
eurocup,bonacini federico,12,1,"Bonacini, Federico"
eurocup,conklin brian,12,1,"Conklin, Brian"
eurocup,della valle amedeo,12,1,"Della Valle, Amedeo"
eurocup,elegar frank,12,1,"Elegar, Frank"
eurocup,eriksson marcus,12,1,"Eriksson, Marcus"
