competition,MP_min,PIR
acb,25.783333333333335,20
acb,26.366666666666667,20
acb,25.366666666666667,5
acb,22.866666666666667,10
acb,26.15,22
acb,27.116666666666667,16
acb,27.533333333333335,11
acb,25.483333333333334,0
acb,25.766666666666666,15
acb,29.9,7
acb,22.133333333333333,7
acb,30.05,10
acb,31.1,20
acb,31.4,12
acb,22.266666666666666,9
acb,23.233333333333334,2
acb,16.833333333333332,9
acb,28.9,10
acb,22.85,1
acb,8.866666666666667,-6
acb,0.0,0
acb,4.666666666666667,-5
acb,0.0,0
acb,10.333333333333334,1
acb,4.95,4
acb,6.55,-3
acb,3.066666666666667,-1
