fold,competition,feature,importance_mae_mean,importance_mae_std,n_test
3,acb,3P_rate_roll10,0.009900844890517745,0.004685176968014307,193
3,acb,3P_rate_roll5,0.027624107106374574,0.029179116270687765,193
3,acb,AST_TOV_roll10,0.004774729086060603,0.003119653885863526,193
3,acb,AST_TOV_roll5,0.01149643872711419,0.0036216271271927547,193
3,acb,AST_roll10,0.001185504427575701,0.0010181165498438008,193
3,acb,AST_roll5,-0.001861683975131001,0.00616799207201955,193
3,acb,DRB_roll10,-0.005403161971072023,0.002613886602861518,193
3,acb,DRB_roll5,-0.0022872873335328947,0.001364472607376193,193
3,acb,FGA_roll10,0.06318709770070682,0.024863364856296772,193
3,acb,FGA_roll5,0.5123328578580721,0.06272479595949683,193
3,acb,FTA_roll10,-0.013795186684521,0.027487830289098236,193
3,acb,FTA_roll5,0.21714020875730017,0.0661258406458804,193
3,acb,FT_rate_roll10,0.005847302174489677,0.007363622838088328,193
3,acb,FT_rate_roll5,0.018233381572405706,0.014167288764652468,193
3,acb,MP_min_roll10,-0.019256765416186282,0.015773729988728953,193
3,acb,MP_min_roll5,0.09366149203767868,0.030973398574306556,193
3,acb,ORB_roll10,0.01545530351180453,0.008956011964200917,193
3,acb,ORB_roll5,0.0009115736150665299,0.002943545113177973,193
3,acb,PF_roll10,0.006639464883844859,0.01509435533872073,193
3,acb,PF_roll5,-0.0026319900827784792,0.008192938510555754,193
3,acb,PIR_roll10,0.39384557600559394,0.044398360887347776,193
3,acb,PIR_roll5,0.557058328461703,0.09308241978754092,193
3,acb,PTS_roll10,-0.011035333427969363,0.0572703739677314,193
3,acb,PTS_roll5,0.2536784372317468,0.10965787705461191,193
3,acb,STL_roll10,0.030450093152049183,0.010900065039608914,193
3,acb,STL_roll5,-0.023142792733856332,0.022291288212663046,193
3,acb,TOV_roll10,0.010137199508312022,0.013176066808884092,193
3,acb,TOV_roll5,0.0363497616866054,0.03181934306395585,193
3,acb,TRB_roll10,0.0,0.0,193
3,acb,TRB_roll5,-0.004383975725508549,0.003595270810816389,193
3,acb,TS_roll10,0.03314618878442026,0.04954877488410468,193
3,acb,TS_roll5,0.07824622570124902,0.047484571993418004,193
3,acb,eFG_roll10,0.00910999336484437,0.008020186197859944,193
3,acb,eFG_roll5,-0.013034811638564747,0.03196067412600417,193
3,acb,rest_days_player,0.004215440145573268,0.014346788585117627,193
3,eurocup,competition,0.0,0.0,165
3,eurocup,3P_rate_roll10,-0.004558116607785756,0.017437832569657797,165
3,eurocup,3P_rate_roll5,0.06682325965122597,0.0587035620149548,165
3,eurocup,AST_TOV_roll10,-0.005772225455534042,0.0029347242772741994,165
3,eurocup,AST_TOV_roll5,-0.013009159379470957,0.007054729349756689,165
3,eurocup,AST_roll10,-0.0014840949368766232,0.0013627022256150697,165
3,eurocup,AST_roll5,0.015051714373721126,0.01674764027572762,165
3,eurocup,DRB_roll10,-0.007125895399071247,0.004283006497897448,165
3,eurocup,DRB_roll5,-0.003228469904455622,0.0019499715226306623,165
3,eurocup,FGA_roll10,0.07854647281999724,0.025082259952053786,165
3,eurocup,FGA_roll5,0.5096239530714108,0.06964850704366737,165
3,eurocup,FTA_roll10,-0.0469197883159179,0.02324334115942005,165
3,eurocup,FTA_roll5,0.25002625111949006,0.06335059734979982,165
3,eurocup,FT_rate_roll10,0.012205544436190329,0.009772057183283169,165
3,eurocup,FT_rate_roll5,-0.05388098184049532,0.041215614176549495,165
3,eurocup,MP_min_roll10,-0.0227888487330155,0.012557892277794998,165
3,eurocup,MP_min_roll5,0.08064579260000322,0.028840837680716023,165
3,eurocup,ORB_roll10,0.016857863537218874,0.01360556004026681,165
3,eurocup,ORB_roll5,-0.0058865149179791135,0.007148510480201123,165
3,eurocup,PF_roll10,0.012963676878762875,0.0181094842037817,165
3,eurocup,PF_roll5,0.01026983990963153,0.01171669809139414,165
3,eurocup,PIR_roll10,0.33325748451120935,0.06041626279947717,165
3,eurocup,PIR_roll5,0.4328291582445486,0.10074577705882695,165
3,eurocup,PTS_roll10,-0.04465177478152373,0.07014696255499812,165
3,eurocup,PTS_roll5,0.24208683716919294,0.10070594630361268,165
3,eurocup,STL_roll10,0.004383090165860715,0.013155672918199295,165
3,eurocup,STL_roll5,0.031067071241151645,0.03696550191327524,165
3,eurocup,TOV_roll10,-0.018909998803334105,0.01667613399461018,165
3,eurocup,TOV_roll5,0.16483980405165113,0.04973650293107992,165
3,eurocup,TRB_roll10,0.0,0.0,165
3,eurocup,TRB_roll5,-0.008525190129618564,0.00730805833150889,165
3,eurocup,TS_roll10,0.057881609208098615,0.05080237688615749,165
3,eurocup,TS_roll5,-0.008874065776779539,0.011026699702158634,165
3,eurocup,eFG_roll10,-0.0018654371393219903,0.011035279494019168,165
3,eurocup,eFG_roll5,0.01431153954867721,0.016724501059517588,165
3,eurocup,rest_days_player,0.002595420797510073,0.005783718707558787,165
3,euroleague,competition,0.0,0.0,164
3,euroleague,3P_rate_roll10,0.003648179471368529,0.01705709580141094,164
3,euroleague,3P_rate_roll5,-0.0005995863188108074,0.026732931846750106,164
3,euroleague,AST_TOV_roll10,0.009292161413027777,0.007311211507367386,164
3,euroleague,AST_TOV_roll5,0.02577447072055907,0.011491401564040632,164
3,euroleague,AST_roll10,0.002792279823931132,0.0028073964189744326,164
3,euroleague,AST_roll5,-0.026616793956249295,0.022703366970945726,164
