model,seed,fold,competition,n_test,mae,rmse,r2
GRU,42,5,acb,340,5.321343213735294,6.977020463688335,0.1609353529263855
GRU,42,5,eurocup,163,5.53473659003681,7.340603830650219,0.23059591541883362
GRU,42,5,euroleague,333,5.221920580807808,6.927092425164087,0.22689895409685512
GRU,123,1,acb,189,5.614602709227514,7.215578083151406,0.13199559022189022
GRU,123,1,eurocup,233,6.175185699055794,7.80548444436164,0.16728115884017858
GRU,123,1,euroleague,317,5.5325729755583595,7.013830018454867,0.2174007388972794
GRU,123,2,acb,249,5.521794564377511,6.981293997406198,0.05310617610703505
GRU,123,2,eurocup,237,6.238847783995781,8.129654637831754,0.1065301723483566
GRU,123,2,euroleague,161,5.818452076981366,7.666900017217025,0.17580658782309944
GRU,123,3,acb,193,5.361372695025907,6.722684307016005,0.13689890242371272
GRU,123,3,eurocup,165,6.000936076121212,8.185542012511497,0.18607699998276206
GRU,123,3,euroleague,164,5.495175113012195,7.2008255849852585,0.17512763419428778
GRU,123,4,acb,190,6.005781237526315,7.599641191495751,0.1604230305928268
GRU,123,4,eurocup,166,5.992963419698796,7.833042301424819,0.10107890315233448
GRU,123,4,euroleague,161,5.352019657031056,7.235329721732464,0.18500841377052424
GRU,123,5,acb,340,5.271444909258824,6.863588061979083,0.18799659598410046
GRU,123,5,eurocup,163,5.419343254177915,7.104299640560374,0.2793349566840969
GRU,123,5,euroleague,333,5.22328763224925,6.858472547100223,0.24213979072305558
GRU,2026,1,acb,189,5.5786654558730175,7.138307061275858,0.15048681988001955
GRU,2026,1,eurocup,233,6.1456837214592275,7.771612053887688,0.1744927487684117
GRU,2026,1,euroleague,317,5.553932370536277,7.050354485607196,0.20922875683682252
GRU,2026,2,acb,249,5.513922755718875,6.993347497952415,0.04983364867161233
GRU,2026,2,eurocup,237,6.211426718586498,8.114334730803145,0.10989439340358031
GRU,2026,2,euroleague,161,5.928738575780745,7.767387188716657,0.1540602195347739
GRU,2026,3,acb,193,5.337174169689119,6.768018322416271,0.1252191135882732
GRU,2026,3,eurocup,165,5.922761846703032,8.130128835714967,0.19705963171731422
GRU,2026,3,euroleague,164,5.616065698890244,7.419452884280172,0.12427865889501888
GRU,2026,4,acb,190,5.969437712810527,7.4896154164276085,0.1845574369949584
GRU,2026,4,eurocup,166,5.952578732710844,7.760885007328711,0.11756418487732789
GRU,2026,4,euroleague,161,5.324197556999999,7.199082544737195,0.1931537640359755
GRU,2026,5,acb,340,5.296170427088236,6.866252306699885,0.18736608155270473
GRU,2026,5,eurocup,163,5.446035488957056,7.20737287286734,0.258271618488357
GRU,2026,5,euroleague,333,5.164990702564564,6.815943091110694,0.25150964636822404
LSTM,42,1,acb,189,5.5550840437566125,7.200547673300067,0.1356080170199222
LSTM,42,1,eurocup,233,6.1471885650884115,7.767717164766666,0.17531997830486656
LSTM,42,1,euroleague,317,5.596618872974763,7.0658973789985255,0.20573831643224272
LSTM,42,2,acb,249,5.494610141698795,6.960841145450266,0.05864621217059296
LSTM,42,2,eurocup,237,6.3028405417468365,8.20058180000998,0.09087201132474132
LSTM,42,2,euroleague,161,5.970314137093168,7.729891949049914,0.16220765874840637
LSTM,42,3,acb,193,5.2354576563730575,6.628674521284809,0.16086927391238903
LSTM,42,3,eurocup,165,6.001511730242425,8.05543296909429,0.2117459449292085
LSTM,42,3,euroleague,164,5.567544502987805,7.258017221123639,0.16197271368519484
LSTM,42,4,acb,190,5.945722842705263,7.500345908653283,0.18221916785819525
LSTM,42,4,eurocup,166,5.968890020849397,7.750865671561966,0.11984117095816038
LSTM,42,4,euroleague,161,5.30001854347826,7.202072832798123,0.19248334423333346
LSTM,42,5,acb,340,5.262497027470589,6.859219724373846,0.18902986785124276
LSTM,42,5,eurocup,163,5.431167669693252,7.178461450448381,0.2642103737613266
LSTM,42,5,euroleague,333,5.165398239579579,6.796593173242095,0.2557534225596986
LSTM,123,1,acb,189,5.617269784814816,7.215515022732587,0.13201076197439587
LSTM,123,1,eurocup,233,6.1566042713304725,7.782736475127234,0.17212776634355087
LSTM,123,1,euroleague,317,5.528235328596214,7.003852618046292,0.21962570083182842
LSTM,123,2,acb,249,5.435161040240964,6.847077417018282,0.08916459122237419
LSTM,123,2,eurocup,237,6.180145102151899,8.077072085553006,0.11805070793221495
LSTM,123,2,euroleague,161,5.874571715031057,7.650667932127876,0.17929279879658688
LSTM,123,3,acb,193,5.269510951398963,6.669780100308205,0.1504298104251386
LSTM,123,3,eurocup,165,5.9536554269393935,8.111229116706122,0.20078840624182281
